Clk,PC (Start),Instruction,IR (Binary),Opcode,Operation,"Flags (SF, ZF, CF)",R0,R1,R2,R3,R4,R5,R6,R7,Next PC
0,0,R1 ← NSH(R1),1000001,0,No-Shift (NSH),"0, 0, 0",5,8,12,6,16,36,9,4,1
1,1,R1 ← R0 + R1,1E+12,1,Add (5 + 8 = 13),"0, 0, 0",5,13,12,6,16,36,9,4,2
2,2,If R0 > R1 then branch to 3,1.111E+15,1111,Branch If Greater (13 > 8),"0, 0, 0",5,13,12,6,16,36,9,4,3
3,3,R1 ← ZERO(R1),1001010001,0,Zero Register,"0, 1, 0",5,0,12,6,16,36,9,4,4
4,4,If ZF = 1 then branch to 7,1.101E+15,1101,Branch If ZF = 1 (ZF is 1),"0, 1, 0",5,0,12,6,16,36,9,4,7
5,7,R3 ← R7 × R3,1.01011E+12,1,Multiply (4 × 6 = 24),"0, 0, 0",5,0,12,24,16,36,9,4,8
6,8,R1 ← R5 / R7,1.0111E+12,1,Divide (36 / 4 = 9),"0, 0, 0",5,9,12,24,16,36,9,4,9
7,9,If R1 > R7 then branch to 5,1.111E+15,1111,Branch If Greater (9 > 4),"0, 0, 0",5,9,12,24,16,36,9,4,5
8,5,R2 ← SHR(R5),1.01101E+11,0,"SHR (36 = 00100100₂), R5 ← 00010010₂ = 18, CF ← 0, R2 ← 18","0, 0, 0",5,9,18,24,16,36,9,4,6
9,6,LAD (R0 ← AC + 1),1.01E+15,1010,"INC AC (AC holds R5 = 36), AC ← 36 + 1 = 37, R5 unchanged","0, 0, 0",5,9,18,24,16,36,9,4,10
10,10,R0 ← R7 × R3,0001 0101 1101 1000,1,"R0 ← R7 × R3, AC ← 4 × 36 = 96, MQ ← 36, R0 ← 96","0, 0, 0",96,9,18,24,16,36,9,4,11
11,11,R2 ← R0 AND R7,0001 1000 0011 1010,1,"R2 ← R0 AND R7, AC ← 96 AND 4 = 0, MQ ← 4, R2 ← 0","0, 1, 0",96,9,0,24,16,36,9,4,12
12,12,R5 ← ROR(R5),0000 1101 0100 0101,0,"R5 ← ROR(R5), AC ← 36, ROR(AC) = 18, R5 ← 18","0, 0, 0",96,9,0,24,16,18,9,4,13
13,13,R2 ← AC,0010 0000 0000 0010,10,"R2 ← AC, AC = 18, R2 ← 18","0, 0, 0",96,9,18,24,16,18,9,4,14
14,14,"AC ← R0, MQ ← R6",0011 0001 0111 0000,11,"AC ← R0, MQ ← R6, AC = 96, MQ = 9","0,0, 0",96,9,18,24,16,18,9,4,15
